"window","zbeta0","zbeta1","zbeta1_prior","zbeta0_prior","beta1","beta1_prior","beta0","beta0_prior"
"600_2200",-0.376705786867668,-0.499534946513168,-0.121578291340915,9.41282704392595,-853.439955289747,-207.712738118632,1675.75128705819,3533.09230924403
"600_2200",-0.093281184075488,-0.373718192510213,-0.976601111785699,4.83563884501313,-638.485935234711,-1668.49269504778,1603.16509722438,3410.79886215363
"600_2200",-0.0751753953185455,-0.0479772420413785,-1.11279850140927,3.23593271589154,-81.9676292690368,-1901.18170894413,1249.06007483166,3189.16878275111
"600_2200",-0.0663309303582187,-0.38354734078137,-1.1734377342127,-22.502599623765,-655.278730052422,-2004.78195652201,1620.23471146601,-2720.50313409997
"600_2200",-0.187393222797324,-0.165411503066333,-0.897166263146642,-1.88559747402259,-282.600420184256,-1532.78072105243,1352.17913518128,1762.7804749924
"600_2200",-0.209277847596598,-0.202989665554803,-0.443835501163227,12.77349370692,-346.801544725971,-758.279181291998,1388.43291523272,4667.90137814489
"600_2200",0.0544711157768519,-0.186704358840834,-0.222415051960998,-16.678006840153,-318.978603546653,-379.989214621158,1431.76072362593,-2414.16592844937
"600_2200",0.0294688200136183,-0.0373019922531,-0.823452006677565,-0.477528799537281,-63.7292962642905,-1406.84220126655,1261.61542108351,2008.64348790622
"600_2200",-0.14996851332808,-0.431877397392509,-0.299460403134838,-10.0778210477212,-737.849132065876,-511.61880634453,1653.97661384031,-796.883344627847
"600_2200",-0.349029300728497,-0.120980153248027,-0.38342063385323,-5.46712528052967,-206.690837747467,-655.062255197478,1265.77427427082,366.054649927696
"600_2200",-0.160338057242311,-0.269993202373393,-0.952142252504498,-10.994160274647,-461.275008226096,-1626.70549293691,1473.49918818111,-291.715146338258
"600_2200",-0.385639772936538,-0.49121036375974,-0.328119136123499,6.43028271302008,-839.217663971628,-560.581362360336,1664.51996553785,3067.74980169486
"600_2200",-0.138166714327788,-0.326243804051128,-2.20712585344273,-19.3180850167858,-557.377415707214,-3770.80603234904,1540.52191279066,-844.034767447848
"600_2200",-0.171980934702069,-0.394293735790926,-0.994313357351287,2.19064280497332,-673.638612460049,-1698.75351697644,1607.52408387716,2816.12556605661
"600_2200",-0.0706957918657047,-0.122258226604706,-1.23289426947288,-5.02427446928759,-208.874386418075,-2106.36160204696,1331.80794783602,1403.28817218303
"600_2200",-0.317923345455078,-0.511086383458273,-0.437177138161856,-9.92676803895996,-873.17522686339,-746.903574716607,1702.10668137258,-610.323602787016
"600_2200",-0.048780816683039,-0.361221589786019,-1.67395042741315,12.019775276344,-617.135877256477,-2859.89236168699,1599.75185157546,5845.99526716043
"600_2200",-0.0771806716672852,-0.534575686706117,-0.283790435963161,-0.721175661176433,-913.305972577091,-484.847153678914,1783.84387636573,1358.45186947484
"600_2200",-0.0192944460630702,-0.205145815209483,-0.160217171998334,-10.9996391827856,-350.485259504552,-273.726066737361,1434.91795050962,-1164.09047555052
"600_2200",0.155134628542121,-0.274607841653102,-1.11419606790636,2.80107388371158,-469.158976240833,-1903.56940793721,1551.82657691212,3089.73377283549
"600_2200",0.056561661825862,-0.195489165415267,-0.288929829648331,-9.30407665608715,-333.987172981976,-493.62764831198,1441.90926629544,-628.806739985339
"600_2200",0.0371616996093981,-0.289250075941556,-0.389184761352062,-0.479255633782188,-494.174779166547,-664.910088165371,1540.53997263206,1530.55647192743
"600_2200",-0.0600166225122023,-0.428492395191108,-0.292880760991758,-11.5312350722303,-732.065960843154,-500.37769191278,1671.13960641725,-1141.59717293407
