hearing_status,posterior_sample,age_group,measure,prob_acc,Intercept,b_Hearing,sigma
hearing,0.7545383986711557,kids,accuracy,0.6801667883308982,NA,NA,NA
hearing,1.004273964725709,kids,accuracy,0.7318980608004021,NA,NA,NA
hearing,0.45040829613900574,kids,accuracy,0.6107363056281447,NA,NA,NA
hearing,0.8340972924920307,kids,accuracy,0.697220583126272,NA,NA,NA
hearing,1.0999616971779664,kids,accuracy,0.7502529287311728,NA,NA,NA
hearing,0.9434070492690879,kids,accuracy,0.7197873514749213,NA,NA,NA
hearing,0.8867960634852622,kids,accuracy,0.7082285503025677,NA,NA,NA
hearing,0.7215488702925671,kids,accuracy,0.6729479976379346,NA,NA,NA
hearing,0.9345138052080096,kids,accuracy,0.7179901407512997,NA,NA,NA
hearing,0.8332743938675312,kids,accuracy,0.6970468377130391,NA,NA,NA
hearing,0.4499405509996808,kids,accuracy,0.6106250993237735,NA,NA,NA
hearing,0.6546284909677087,kids,accuracy,0.6580527232413091,NA,NA,NA
hearing,0.5630100051371826,kids,accuracy,0.6371487109311982,NA,NA,NA
hearing,0.5349988022877739,kids,accuracy,0.6306482466667689,NA,NA,NA
hearing,0.766342735353838,kids,accuracy,0.6827292234753944,NA,NA,NA
hearing,0.5394182776614188,kids,accuracy,0.6316770839207227,NA,NA,NA
hearing,0.6822558582348275,kids,accuracy,0.6642419954720646,NA,NA,NA
hearing,0.6063575365954257,kids,accuracy,0.6471094598699585,NA,NA,NA
hearing,0.7847757825322786,kids,accuracy,0.6867084905309723,NA,NA,NA
hearing,0.6687556720859922,kids,accuracy,0.6612244773971956,NA,NA,NA
hearing,0.7798596370906339,kids,accuracy,0.6856498617292347,NA,NA,NA
hearing,0.5889300684140704,kids,accuracy,0.6431196160677289,NA,NA,NA
hearing,0.8096165502260695,kids,accuracy,0.6920277874606828,NA,NA,NA
hearing,0.7479012439180283,kids,accuracy,0.6787212188633668,NA,NA,NA
hearing,0.6277501554520513,kids,accuracy,0.6519791419080154,NA,NA,NA
hearing,0.5115219653455169,kids,accuracy,0.6251631908465359,NA,NA,NA
hearing,0.7453456345041996,kids,accuracy,0.6781636915881423,NA,NA,NA
hearing,0.4827997939582702,kids,accuracy,0.6184087870273227,NA,NA,NA
hearing,0.6030798178550394,kids,accuracy,0.6463606035136347,NA,NA,NA
hearing,0.7395549295961006,kids,accuracy,0.6768985239295635,NA,NA,NA
hearing,0.6468583937769864,kids,accuracy,0.6563021600925897,NA,NA,NA
hearing,0.8342178467844712,kids,accuracy,0.697246032019539,NA,NA,NA
hearing,0.7389966928430859,kids,accuracy,0.6767764216384335,NA,NA,NA
hearing,0.8409608286812917,kids,accuracy,0.6986675390313519,NA,NA,NA
hearing,0.4844235273712605,kids,accuracy,0.6187918808581204,NA,NA,NA
hearing,0.6626325116850079,kids,accuracy,0.6598514975182802,NA,NA,NA
hearing,0.6368010687341797,kids,accuracy,0.6540299802837103,NA,NA,NA
hearing,0.9053112382201993,kids,accuracy,0.7120397396438336,NA,NA,NA
hearing,0.6445191363758462,kids,accuracy,0.6557743018944233,NA,NA,NA
hearing,0.7516026853385984,kids,accuracy,0.6795278159576756,NA,NA,NA
hearing,0.6840104831529084,kids,accuracy,0.6646332070935866,NA,NA,NA
hearing,1.1332561933578342,kids,accuracy,0.7564393173291257,NA,NA,NA
hearing,0.9543862122282418,kids,accuracy,0.7219964246369825,NA,NA,NA
