"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"1633","deaf","Target",0.541735435617015,0.115487555892572,0.110144424175057
"1633","hearing","Distractor",0.175084915084915,0.0744275724275724,0.0838306693306693
"1633","hearing","Signer",0.317888602625445,0.0715384615384615,0.0852335252466832
"1633","hearing","Target",0.50702648228964,0.0904588788404578,0.090827589077589
"1667","deaf","Distractor",0.0989804830424993,0.0528578566968055,0.0603065359965756
"1667","deaf","Signer",0.349421073637405,0.100487459038639,0.105740806455541
"1667","deaf","Target",0.551598443320096,0.12452836379307,0.109548306855522
"1667","hearing","Distractor",0.184445554445554,0.076547619047619,0.0946903096903097
"1667","hearing","Signer",0.320138019874862,0.076819675938097,0.0789581295897085
"1667","hearing","Target",0.495416425679584,0.0868404183535763,0.0945030846346636
"1700","deaf","Distractor",0.0865424679487179,0.0431133384844322,0.045500500801282
"1700","deaf","Signer",0.339008077083735,0.0926863482825654,0.105560897435897
"1700","deaf","Target",0.574449454967547,0.103271219665751,0.0879793253164963
"1700","hearing","Distractor",0.187668456150238,0.0839668803418804,0.0830917839470471
"1700","hearing","Signer",0.313029664892013,0.0763293650793651,0.0740924673616982
"1700","hearing","Target",0.499301878957749,0.100076272411799,0.0954570721675985
"1733","deaf","Distractor",0.0851318500578369,0.0387605130614999,0.0457106746734625
"1733","deaf","Signer",0.333944235588972,0.0890749108347792,0.115090134189641
"1733","deaf","Target",0.580923914353191,0.101677238719796,0.0942269573673767
"1733","hearing","Distractor",0.184941891217195,0.0831291678407063,0.086522667615785
"1733","hearing","Signer",0.3066218307109,0.0626184976741657,0.0741661970508124
"1733","hearing","Target",0.508436278071906,0.0960478118372856,0.0936160976899842
"1767","deaf","Distractor",0.0919583565263712,0.040672904845699,0.0465033895502645
"1767","deaf","Signer",0.331325919790993,0.0983793818007972,0.107907056051587
"1767","deaf","Target",0.576715723682635,0.105685424410149,0.0920619611359501
"1767","hearing","Distractor",0.172252747252747,0.0831593406593406,0.083610347985348
"1767","hearing","Signer",0.315003855793329,0.0682562174667438,0.0760260025062657
"1767","hearing","Target",0.512743396953923,0.0882562174667437,0.0912461442066705
"1800","deaf","Distractor",0.0852411705618942,0.0365434240238928,0.03718428432861
"1800","deaf","Signer",0.318175455757693,0.0945056852869353,0.11487737682639
"1800","deaf","Target",0.596583373680413,0.104070567247993,0.0850951396921792
"1800","hearing","Distractor",0.164985014985015,0.0727289377289377,0.0743648018648018
"1800","hearing","Signer",0.311182209603262,0.0616355369776423,0.0710769084716453
"1800","hearing","Target",0.523832775411723,0.0847955071244545,0.0889208744471901
"1833","deaf","Distractor",0.087987065018315,0.0378650125915751,0.0395101448031135
"1833","deaf","Signer",0.316265071733822,0.0938351123702686,0.113857743818681
"1833","deaf","Target",0.595747863247863,0.0946241319444444,0.0852966985271673
"1833","hearing","Distractor",0.165323806628154,0.0790107537390146,0.0757884144840666
"1833","hearing","Signer",0.302178637533329,0.0617514093458029,0.0605820714373346
"1833","hearing","Target",0.532497555838517,0.0809835540127303,0.0817178816606733
"1867","deaf","Distractor",0.089074926299191,0.0383097876388318,0.0438386498611682
"1867","deaf","Signer",0.311257334373143,0.0889539841286164,0.103905975050277
"1867","deaf","Target",0.599667739327666,0.0947217856949015,0.0855436577311577
"1867","hearing","Distractor",0.153664412510566,0.0656988844488845,0.0837158322446784
"1867","hearing","Signer",0.302335314258391,0.0723940471921241,0.070788943962021
"1867","hearing","Target",0.544000273231042,0.0871182983682984,0.0961830989523297
"1900","deaf","Distractor",0.0928267878635526,0.0395937760666621,0.0418405408249158
"1900","deaf","Signer",0.305035662526471,0.0849959239596188,0.110281813349369
"1900","deaf","Target",0.602137549609976,0.0934104058472165,0.0849302115708365
"1900","hearing","Distractor",0.172242501088655,0.0884644522144522,0.103293213197059
"1900","hearing","Signer",0.285092673857856,0.0912038652979948,0.0983107496417213
"1900","hearing","Target",0.542664825053489,0.08884384340356,0.0863825867115341
"1933","deaf","Distractor",0.0888671377641966,0.0401375990737204,0.0423105364304813
"1933","deaf","Signer",0.30950069640327,0.0869049882664313,0.109668351715686
"1933","deaf","Target",0.601632165832533,0.0961266395216304,0.0909279490678847
"1933","hearing","Distractor",0.176418880265034,0.0841938616938617,0.0988520987559449
"1933","hearing","Signer",0.272142663771623,0.103261944817375,0.108199159437847
"1933","hearing","Target",0.551438455963343,0.0844557554059817,0.0864048206695265
"1967","deaf","Distractor",0.0888630239442933,0.0405640390293544,0.0408028316739375
"1967","deaf","Signer",0.305921831311247,0.0902743432241062,0.113561621476434
"1967","deaf","Target",0.60521514474446,0.096689423423351,0.0915026879264131
"1967","hearing","Distractor",0.165685123126595,0.080476753597573,0.0763777526821005
"1967","hearing","Signer",0.267708060842037,0.105448667422158,0.104275596526236
"1967","hearing","Target",0.566606816031368,0.0889990705160142,0.0879991172510354
"2000","deaf","Distractor",0.0880699420584289,0.0402772452556581,0.0390396712662338
"2000","deaf","Signer",0.297119792062226,0.0894150246987418,0.112031918495734
"2000","deaf","Target",0.614810265879345,0.101856002261019,0.0990391619832409
"2000","hearing","Distractor",0.171090430037798,0.0807391146864831,0.0932372247635406
"2000","hearing","Signer",0.270751704435915,0.0948628038628039,0.121457498641709
"2000","hearing","Target",0.558157865526287,0.0869298596140701,0.0841291369449265
"2033","deaf","Distractor",0.097544903013653,0.0447846554487179,0.0519384131493507
"2033","deaf","Signer",0.298808223026973,0.0985471949925075,0.11107915521978
"2033","deaf","Target",0.603646873959374,0.110594847860473,0.0915356388403262
"2033","hearing","Distractor",0.175,0.0795032051282051,0.0865705128205128
"2033","hearing","Signer",0.2672534178255,0.108290867218213,0.115958678049639
"2033","hearing","Target",0.5577465821745,0.0910903670128498,0.0933506791644664
"2067","deaf","Distractor",0.0963106814209755,0.0456063450778524,0.0511580064475285
