"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"1500","Adults","Target",0.659267103227233,0.124788601431952,0.124776955124722
"1533","< 27 Months","Distractor",0.129765571729857,0.0648572409733124,0.0689805853868354
"1533","< 27 Months","Signer",0.421791403041403,0.113259114397507,0.12409752449931
"1533","< 27 Months","Target",0.44844302522874,0.0917783208854638,0.077108087844695
"1533",">= 27 Months","Distractor",0.0521747287227163,0.0237634980688386,0.0233664933277936
"1533",">= 27 Months","Signer",0.386687612926003,0.0920875246184844,0.0889778921628766
"1533",">= 27 Months","Target",0.561137658351281,0.102177474658125,0.0940761597650143
"1533","Adults","Distractor",0.00389128352490421,0.00389128352490421,0.00563787116858237
"1533","Adults","Signer",0.351943672031147,0.136579926317344,0.135091023644206
"1533","Adults","Target",0.644165044443949,0.142288416803503,0.136183616572182
"1567","< 27 Months","Distractor",0.125026405298962,0.0654540368779091,0.0745090964017185
"1567","< 27 Months","Signer",0.421322502685285,0.119194739079842,0.128996911922664
"1567","< 27 Months","Target",0.453651092015754,0.0940703097028285,0.0769322077515217
"1567",">= 27 Months","Distractor",0.0566138169399039,0.0271292716944891,0.0254456523750002
"1567",">= 27 Months","Signer",0.370451899782563,0.0885611589179953,0.0976663059850989
"1567",">= 27 Months","Target",0.572934283277533,0.0956301944517047,0.0915691347384712
"1567","Adults","Distractor",0.00590277777777778,0.00590277777777778,0.0100694444444444
"1567","Adults","Signer",0.368387455869404,0.130846642669124,0.14026405012436
"1567","Adults","Target",0.625709766352818,0.140761864559667,0.138863917513845
"1600","< 27 Months","Distractor",0.134824642775771,0.0617983473293623,0.067468940207662
"1600","< 27 Months","Signer",0.414782614002539,0.11971992176057,0.112278765094554
"1600","< 27 Months","Target",0.450392743221691,0.0849709145021645,0.078583392328223
"1600",">= 27 Months","Distractor",0.0688949013949014,0.035947570947571,0.0389107744107744
"1600",">= 27 Months","Signer",0.353449975949976,0.0787026815776816,0.0929996993746993
"1600",">= 27 Months","Target",0.577655122655123,0.107554593554594,0.0945327681577682
"1600","Adults","Distractor",0.00604645593869732,0.00604645593869732,0.0103568007662835
"1600","Adults","Signer",0.386495429744015,0.133900296807637,0.15343760042022
"1600","Adults","Target",0.607458114317288,0.143608862675122,0.141470553020059
"1633","< 27 Months","Distractor",0.154413387364515,0.0707442998730593,0.0795722463626598
"1633","< 27 Months","Signer",0.386811061745272,0.112390232887413,0.133830492424242
"1633","< 27 Months","Target",0.458775550890213,0.101808173029978,0.0789912067099566
"1633",">= 27 Months","Distractor",0.0679069264069264,0.0336558441558441,0.0346716991341991
"1633",">= 27 Months","Signer",0.343009505114768,0.0938276907303223,0.111782604237867
"1633",">= 27 Months","Target",0.589083568478305,0.11396254366978,0.101613157310526
"1633","Adults","Distractor",0.00590277777777778,0.00590277777777778,0.0100694444444444
"1633","Adults","Signer",0.398760346876473,0.148483553524597,0.156741879580115
"1633","Adults","Target",0.59533687534575,0.153066383706914,0.142200954034087
"1667","< 27 Months","Distractor",0.199407657799962,0.0872524009603841,0.0937990196078431
