"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"1100",">= 27 Months","Signer",0.605564155792226,0.0949851964799334,0.0870601858018525
"1100",">= 27 Months","Target",0.331686279282771,0.0837528183236517,0.0952566013583557
"1100","Adults","Distractor",0.0128034547152194,0.0093312324929972,0.0105183531746032
"1100","Adults","Signer",0.255367986405639,0.108229707129064,0.115368908175862
"1100","Adults","Target",0.731828558879142,0.103978700125775,0.106275702091181
"1133","< 27 Months","Distractor",0.11827947845805,0.0579078798185941,0.0606235827664399
"1133","< 27 Months","Signer",0.675532741068455,0.121947933019362,0.109393939393939
"1133","< 27 Months","Target",0.206187780473495,0.0844244842459128,0.0881083222333222
"1133",">= 27 Months","Distractor",0.0567279325612659,0.0277794196544197,0.027587652316819
"1133",">= 27 Months","Signer",0.577654012654013,0.0926173479298479,0.0881982253857254
"1133",">= 27 Months","Target",0.365618054784721,0.0832058913308913,0.0877176974260307
"1133","Adults","Distractor",0.00945559258186033,0.00761735728774268,0.00977252970153579
"1133","Adults","Signer",0.241822112661679,0.0989924256658972,0.116340369748997
"1133","Adults","Target",0.748722294756461,0.110682096702317,0.10523157813282
"1167","< 27 Months","Distractor",0.109665532879819,0.0545663265306122,0.0587117346938775
"1167","< 27 Months","Signer",0.660738765203051,0.122145917078953,0.105925678983715
"1167","< 27 Months","Target",0.22959570191713,0.0918512291280148,0.098947317563389
"1167",">= 27 Months","Distractor",0.0650442734653261,0.0283403867088078,0.0333161468161468
"1167",">= 27 Months","Signer",0.557854964093354,0.096580487537918,0.0981289327717346
"1167",">= 27 Months","Target",0.37710076244132,0.0804237614237615,0.0880275392249076
"1167","Adults","Distractor",0.00721104231166151,0.00721104231166151,0.0084171826625387
"1167","Adults","Signer",0.240337976321351,0.105254213708899,0.121226313515203
"1167","Adults","Target",0.752450981366988,0.120649891341399,0.109031715769932
"1200","< 27 Months","Distractor",0.105867211318339,0.0556565656565657,0.0661684446505875
"1200","< 27 Months","Signer",0.644589829552236,0.127669091560069,0.113197482342219
"1200","< 27 Months","Target",0.249542959129425,0.0943205009276438,0.100438481213857
