"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num"
"59","21","2","r_shoes_where_3_29_4","shoe","shoe","0",TRUE,"8008","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","4"
"60","22","2","p_book_look_2_04_4","book","car","0",FALSE,"7541","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","4"
"61","23","2","p_bear_look_2_01_5","bear","bear","1",TRUE,"8193","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","5"
"62","24","2","p_bird_look_1_25_2","bird","bird","0",TRUE,"6267","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","2"
"63","25","2","r_love_book_3_26_3","book","book","1",TRUE,"11113","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","3"
"64","26","2","r_ball_which_2_04_5","ball","ball","1",TRUE,"6151","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","5"
"65","27","2","r_bear_which_1_28_6","bear","bear","0",TRUE,"5065","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","6"
"66","28","2","p_doll_find_2_01_4","doll","doll","0",TRUE,"6482","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","4"
"67","29","2","r_love_bear_3_20_4","bear","bear","1",TRUE,"7983","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","4"
"68","30","2","r_bear_where_4_03_1","bear","doll","1",FALSE,"10753","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","1"
"69","31","2","r_bird_where_4_11_6","bird","bird","0",TRUE,"9158","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","6"
"70","32","2","p_car_where_1_20_1","car","car","1",TRUE,"8118","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","1"
"71","33","2","p_ball_where_1_23_3","ball","shoe","1",FALSE,"6797","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","3"
"72","34","2","r_book_where_4_03_1","book","book","1",TRUE,"9600","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","1"
"73","35","2","r_love_cat_3_23_3","cat","cat","1",TRUE,"13523","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","3"
"74","36","2","r_love_bird_3_23_5","bird","bird","0",TRUE,"8466","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","5"
"75","37","2","r_cat_which_1_23_2","cat","cat","1",TRUE,"6153","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","2"
"76","38","2","p_shoe_where_1_21_4","shoe","shoe","0",TRUE,"6320","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","4"
"77","1","3","p_bear_look_1_27_1","bear","bear","1",TRUE,"6051","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","1"
"78","2","3","p_book_where_2_03_4","book","book","0",TRUE,"8694","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","4"
